qr_code,Frequency,Temperature,Compensated,SG
B3-H-0049,1361.35718,22.13,1362.48345,1.05775
B3-H-0049,1361.42859,22.06,1362.53452,1.05749
B3-H-0049,1361.42859,22.03,1362.52580,1.05753
B3-H-0049,1361.42859,22.01,1362.51998,1.05756
B3-H-0049,1361.42859,21.98,1362.51417,1.05759
B3-H-0049,1361.42859,21.99,1362.51708,1.05758
B3-H-0049,1361.42859,21.98,1362.51417,1.05759
B3-H-0049,1361.42859,21.99,1362.51708,1.05758
B3-H-0049,1361.42859,21.98,1362.51417,1.05759
B3-H-0049,1361.42859,21.99,1362.51708,1.05758
B3-H-0049,1361.42859,21.98,1362.51417,1.05759
B3-H-0049,1361.42859,21.99,1362.51708,1.05758
B3-H-0045,1354.57141,22.18,1355.70931,1.05722
B3-H-0045,1354.57141,22.16,1355.70349,1.05725
B3-H-0045,1354.57141,22.18,1355.70931,1.05722
B3-H-0045,1354.50000,22.13,1355.62627,1.05765
B3-H-0045,1354.57141,22.14,1355.70059,1.05726
B3-H-0045,1354.57141,22.14,1355.70059,1.05726
B3-H-0045,1354.57141,22.13,1355.69768,1.05728
B3-H-0045,1354.57141,22.17,1355.70640,1.05723
B3-H-0045,1354.57141,22.14,1355.70059,1.05726
B3-H-0045,1354.57141,22.14,1355.70059,1.05726
B3-H-0045,1354.57141,22.14,1355.70059,1.05726
B3-H-0045,1354.57141,22.14,1355.70059,1.05726
B3-H-0045,1354.57141,22.13,1355.69768,1.05728
B3-H-0045,1354.57141,22.14,1355.70059,1.05726
B3-H-0045,1354.57141,22.16,1355.70349,1.05725
B3-H-0045,1354.57141,22.11,1355.69187,1.05731
B3-H-0045,1354.57141,22.13,1355.69768,1.05728
B1-K-0472,1362.78577,22.18,1363.92366,1.05759
B1-K-0472,1362.85718,22.18,1363.99507,1.05722
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.85718,22.17,1363.99217,1.05723
B1-K-0472,1362.85718,22.16,1363.98926,1.05725
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.85718,22.13,1363.98345,1.05728
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.78577,22.13,1363.91204,1.05765
B1-K-0472,1362.78577,22.16,1363.91785,1.05762
B1-K-0472,1362.78577,22.14,1363.91494,1.05763
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.85718,22.14,1363.98635,1.05726
B1-K-0472,1362.78577,22.13,1363.91204,1.05765
B1-K-0472,1362.85718,22.11,1363.97764,1.05731
B1-K-0472,1362.85718,22.11,1363.97764,1.05731
B1-K-0472,1362.78577,22.12,1363.90913,1.05766
